iter	F1	Logloss
0	0.8425410149	0.6707099616
1	0.8692484526	0.64780284
2	0.8844874183	0.6272824414
3	0.8875186232	0.6067694226
4	0.8956483846	0.5864482601
5	0.8975051219	0.5624936324
6	0.9028681725	0.542680715
7	0.9055098412	0.5267674685
8	0.9072005379	0.5108971995
9	0.9099918592	0.4984006329
10	0.9114550306	0.4812414064
11	0.9129229148	0.4652153967
12	0.9180599718	0.4496554172
13	0.9195342334	0.4399287345
14	0.9200267067	0.4287556597
15	0.9194111974	0.4208427407
16	0.9205197077	0.4109314188
17	0.9205197077	0.4028198459
18	0.9203964079	0.3927750677
19	0.9206430406	0.3839555148
20	0.9215072966	0.3793107604
21	0.9220018862	0.3683316902
22	0.9234888454	0.3602948052
23	0.9232406858	0.3544090528
24	0.9229926597	0.3504031262
25	0.9228686965	0.3424815249
26	0.9227447667	0.3365163369
27	0.9232406858	0.3299128463
28	0.9237371383	0.3234065291
29	0.9234888454	0.3176473969
30	0.9247316467	0.3115349657
31	0.9246072161	0.3082456262
32	0.9249806085	0.3053785601
33	0.9253543026	0.300488284
34	0.9259777976	0.2958458328
35	0.9266021334	0.2922048996
36	0.9274776192	0.2870827635
37	0.9273524485	0.2817718706
38	0.9274776192	0.2786529932
39	0.92797864	0.2728516574
40	0.927728062	0.2696394471
41	0.927728062	0.2659415896
42	0.9308486097	0.2623826798
43	0.9310996148	0.2595492687
44	0.9309740953	0.2574793622
45	0.9313507554	0.2535500429
46	0.9319791998	0.2507933796
47	0.9314763764	0.2478629172
48	0.9321049905	0.2449155689
49	0.9323566738	0.2410672265
50	0.9323566738	0.238467674
51	0.9327344536	0.2365040228
52	0.9327344536	0.2341447267
53	0.9333647675	0.231933993
54	0.9334909325	0.2305706994
55	0.9336171316	0.2284118234
56	0.9334909325	0.2263736121
57	0.9339959338	0.2236674182
58	0.9369849546	0.2207982712
59	0.9368584758	0.2190429892
60	0.936732031	0.2172867101
61	0.9369849546	0.2152839241
62	0.9372380149	0.2128416886
63	0.9376178616	0.2104212179
64	0.9376178616	0.2089384638
65	0.9383784794	0.206727507
66	0.9385053691	0.2049581556
67	0.938632293	0.2038571005
68	0.939013271	0.2029622665
69	0.9383784794	0.2015364191
70	0.939013271	0.2000925774
71	0.938886244	0.1985371097
72	0.9391403324	0.1975981087
73	0.9392674282	0.1952013252
74	0.9392674282	0.1943601537
75	0.939648922	0.1924897995
76	0.939648922	0.1915250119
77	0.9400307258	0.1900132133
78	0.9399034234	0.1885219662
79	0.9402854341	0.1865802696
80	0.94041284	0.1856565049
81	0.9410503879	0.1839828836
82	0.9409228092	0.1827173122
83	0.9410503879	0.1813364653
84	0.9411780012	0.1804048946
85	0.9413056492	0.1795755803
86	0.9413056492	0.1784770636
87	0.9415610489	0.177005475
88	0.9418165873	0.1759780419
89	0.944545683	0.1741946607
90	0.944545683	0.1728042086
91	0.944417791	0.1714719079
92	0.9448015708	0.1700572949
93	0.9448015708	0.1692296365
94	0.9448015708	0.1680554779
95	0.9448015708	0.1673024657
96	0.9450575973	0.1663998748
97	0.9453137626	0.1654518109
98	0.9450575973	0.1641318875
99	0.9450575973	0.1633866999
100	0.9450575973	0.1626956701
101	0.9451856626	0.1619022385
102	0.9453137626	0.1609283561
103	0.9453137626	0.1596137809
104	0.9455700668	0.1585564623
105	0.9456982711	0.1579837673
106	0.9458265101	0.1570281348
107	0.9460830924	0.1557601745
108	0.9460830924	0.1549861615
109	0.9460830924	0.1544410331
110	0.946339814	0.1524567553
111	0.9491876096	0.1515991673
112	0.9490590938	0.1506110534
113	0.9542067437	0.1501222892
114	0.9545927865	0.1496222515
115	0.9547215368	0.1485973661
116	0.9549791418	0.147597633
117	0.9549791418	0.1466664814
118	0.9549791418	0.1457074248
119	0.9572787189	0.1447849081
120	0.9602115579	0.1440644055
121	0.9623596447	0.1433148283
122	0.9624886112	0.1426070271
123	0.9624886112	0.1415798947
124	0.9623596447	0.140855967
125	0.9650125574	0.1398343362
126	0.9651416155	0.1384384359
127	0.9651416155	0.1370634163
128	0.9653998352	0.1361046673
129	0.9653998352	0.135183551
130	0.9677838097	0.1345158705
131	0.9679129919	0.133984592
132	0.9680422086	0.1333276669
133	0.9681714599	0.132502233
134	0.9681714599	0.13144821
135	0.9683007456	0.1307637744
136	0.9684300659	0.1299551971
137	0.9685594207	0.1293953686
138	0.9688182341	0.1285225221
139	0.9688182341	0.1278306485
140	0.9711913973	0.1271498349
141	0.9713208742	0.1263255629
142	0.9714503857	0.1255571792
143	0.9717095123	0.1247653574
144	0.9717095123	0.1239835796
145	0.9717095123	0.1235342035
146	0.9717095123	0.1229114337
147	0.9742014762	0.1220518728
148	0.9743311424	0.1215524868
149	0.9766826753	0.1208603037
150	0.9766826753	0.1204762713
151	0.9742014762	0.1195152554
152	0.9740718445	0.1189492718
153	0.9766826753	0.1185484839
154	0.976812391	0.1178789611
155	0.9770719257	0.1173956191
156	0.9770719257	0.1168959846
157	0.9772017448	0.1162191294
158	0.9795425729	0.115618583
159	0.9791531793	0.1148022923
160	0.9792829428	0.1143034817
161	0.9792829428	0.1138934459
162	0.9792829428	0.1132636318
163	0.9794127406	0.1130008461
164	0.9817428668	0.1124511873
165	0.9794127406	0.1116956949
166	0.9792829428	0.1108624441
167	0.9817428668	0.1104152898
168	0.9817428668	0.1098878141
169	0.9820025892	0.1089666437
170	0.9820025892	0.1084883945
171	0.984452043	0.1078537818
172	0.9843221201	0.1072556465
173	0.9841922316	0.1068637209
174	0.9841922316	0.1063702915
175	0.9863713445	0.1058603368
176	0.9867610364	0.1053793656
177	0.9866311049	0.1049906997
178	0.9865012076	0.1047435607
179	0.9866311049	0.1042538487
180	0.9867610364	0.1036987452
181	0.9870210021	0.1032557583
182	0.9871510364	0.1025694886
183	0.9874112076	0.1018179945
184	0.9872811049	0.1013898465
185	0.9874112076	0.1009483813
186	0.9874112076	0.100535472
187	0.9878017218	0.09939904968
188	0.9876715161	0.09897640576
189	0.9879319618	0.09849517653
190	0.9879319618	0.09771564807
191	0.9879319618	0.09715546413
192	0.9879319618	0.09657695259
193	0.9880622362	0.09607276179
194	0.9883228881	0.09571536935
195	0.9881925449	0.09527797758
196	0.9881925449	0.09489935582
197	0.9883228881	0.09414498779
198	0.9884532656	0.09386815188
199	0.9885836775	0.09348224274
200	0.9887141238	0.09294166802
201	0.9885836775	0.09249754113
202	0.9889751198	0.09197822153
203	0.9889751198	0.09163836446
