iter	Passed	Remaining
0	2	2126
1	4	2229
2	6	2138
3	8	2072
4	10	2034
5	12	2019
6	14	2015
7	16	2086
8	18	2077
9	20	2050
10	22	2024
11	24	2024
12	26	2029
13	28	2015
14	30	2007
15	33	2051
16	35	2058
17	37	2072
18	40	2076
19	42	2082
20	44	2077
21	47	2102
22	49	2093
23	51	2083
24	53	2077
25	55	2067
26	57	2076
27	59	2070
28	61	2067
29	63	2062
30	65	2053
31	67	2050
32	72	2111
33	74	2117
34	76	2118
35	79	2139
36	82	2139
37	84	2141
38	86	2142
39	89	2139
40	91	2138
41	93	2137
42	95	2134
43	97	2126
44	100	2124
45	102	2123
46	104	2123
47	107	2127
48	110	2139
49	112	2140
50	114	2133
51	116	2128
52	119	2127
53	121	2125
54	123	2120
55	125	2114
56	127	2108
57	129	2105
58	131	2103
59	134	2111
60	136	2102
61	138	2091
62	139	2081
63	141	2071
64	144	2072
65	145	2064
66	147	2054
67	149	2047
68	151	2039
69	152	2031
70	155	2030
71	157	2024
72	158	2017
73	160	2010
74	162	2002
75	164	1996
76	166	1992
77	168	1986
78	169	1979
79	171	1972
80	173	1965
81	175	1961
82	177	1957
83	178	1950
84	180	1944
85	182	1937
86	184	1931
87	185	1927
88	188	1924
89	189	1919
90	191	1913
91	193	1909
92	195	1905
93	197	1902
94	199	1900
95	201	1897
96	203	1894
97	205	1891
98	207	1889
99	209	1887
100	211	1881
101	213	1876
102	214	1871
103	216	1867
104	218	1863
105	220	1862
106	222	1859
107	225	1858
108	227	1856
109	229	1853
110	231	1853
111	233	1850
112	235	1846
113	237	1843
114	238	1838
115	241	1836
116	243	1834
117	244	1830
118	246	1826
119	248	1824
120	250	1820
121	252	1816
122	254	1812
123	256	1811
124	258	1808
125	260	1803
126	261	1799
127	263	1795
128	265	1790
129	266	1786
130	268	1782
131	270	1777
132	272	1774
133	274	1772
134	276	1768
135	277	1764
136	279	1760
137	281	1755
138	282	1752
139	285	1752
140	287	1749
141	289	1747
142	291	1746
143	293	1743
144	295	1742
145	297	1741
146	299	1738
147	301	1736
148	303	1735
149	306	1735
150	308	1732
151	309	1728
152	311	1724
153	313	1720
154	314	1716
155	316	1713
156	318	1710
157	320	1707
158	322	1705
159	324	1702
160	326	1699
